x,y
-2.399415532828911513e+00,-9.434733217561186791e+01
-1.052403691155973986e+00,-3.879154872832509682e+01
7.286509565615799655e-01,2.854609115850616874e+01
2.308478094909912071e-01,-1.208760889526528715e+00
4.037191717337991481e-02,4.124889364693409277e+00
-6.869063737258208624e-01,-2.775711680648771917e+01
-1.331232391489062028e+00,-4.226700134632019257e+01
-7.080560777595166222e-01,-2.289694289769153102e+01
1.007924848249351774e-01,1.359831492202462400e+01
7.457668246169443238e-01,3.125715066057459524e+01
-3.395494729183448634e-01,-1.554836506040282096e+01
8.211110660316748300e-01,3.599524193014458007e+01
1.445231873175284676e+00,5.214766824099264397e+01
1.045501509001732554e+00,4.536657811918339434e+01
6.679594073220432859e-01,3.066877576655481619e+01
5.596437094357822328e-01,4.730887798934116262e+00
3.454466518239566186e-01,1.195797903017339792e+01
-2.312489241570998277e-01,-3.011754240908125269e+00
8.263906620456114016e-01,4.313596376031784985e+01
5.560409532141862288e-01,2.609418121779245325e+01
-2.320320916031104741e-01,-1.602028460218836159e+01
-8.059049735387244229e-02,-1.731370882629350794e+00
3.301843903369594546e-01,2.129568021861868488e+01
7.044775870549265795e-01,3.743469577588554387e+01
5.462059285907217010e-01,6.680062198831592468e+00
2.064029099981402604e-01,9.843187576951990536e+00
7.988750971351822328e-01,3.151720807976409588e+01
-7.036780076774166170e-01,-2.768544217550883957e+01
7.627158788593368932e-01,2.817144666029443911e+01
1.022746137338659267e+00,3.029186607581934609e+01
-2.805562968319390005e-01,-1.190750646783461875e+01
1.190109085702089307e-02,3.943366045179872437e+00
-1.484512277543547976e+00,-5.643985140941958178e+01
2.068987658239528571e+00,9.234673504397797217e+01
-1.912152957886362081e+00,-6.822856888668748354e+01
4.099231172576651983e-02,-6.142346180694968627e-01
-8.471862170513710932e-01,-3.294864808873748530e+01
1.980934023615770423e+00,7.800277175214519332e+01
-1.511781512566718333e-01,-6.766666183710453808e+00
5.543653958578713681e-01,1.734057651793065702e+01
-4.181406531800564430e-01,-1.969660599834281101e+01
-3.427924462163746133e-01,-1.652145764089803137e+01
-1.664022241656595291e+00,-6.373084644073325222e+01
1.117137330115472338e+00,6.169599323094010401e+01
-6.222586148880938639e-01,-2.393452526030840843e+01
-1.132638785803957937e+00,-3.705766427183465339e+01
1.034116772612595492e-01,-3.844755324820870790e+00
-1.361897550468655682e+00,-4.931430706063823521e+01
1.069841676080017345e+00,3.204378855617544275e+01
4.803513079087537996e-01,2.444196826383831223e+01
